function,event,num_values,values
write_page,cycles,2,3409861608,3179762094
write_page,instructions,2,7141967037,6301198203
write_page,cache-misses,2,644,464
write_page,branch-misses,2,3458365,3294112
write_page,cpu-clock,2,3459660074,3148206452
write_page,branches,2,655856739,591223184
read_page,cycles,2,3375706066,2961794531
read_page,instructions,2,6814234792,6198141223
read_page,cache-misses,2,671,445
read_page,branch-misses,2,4481662,3262590
read_page,cpu-clock,2,3512032488,3068472465
read_page,branches,2,647178969,587056706
allocate_page,cycles,2,2735289654,2454058326
allocate_page,instructions,2,3277322448,2912095805
allocate_page,cache-misses,2,800,602
allocate_page,branch-misses,2,421636,406642
allocate_page,cpu-clock,2,2350597183,2134813199
allocate_page,branches,2,502397224,447063056
